make,component,complaint_count,crash_count,crash_rate_pct
FORD,"ELECTRICAL SYSTEM,VISIBILITY/WIPER",25,0.0,0.0
FORD,EQUIPMENT,11,0.0,0.0
FORD,"POWER TRAIN,ELECTRICAL SYSTEM,FORWARD COLLISION AVOIDANCE",14,0.0,0.0
FORD,"FUEL SYSTEM, GASOLINE,POWER TRAIN",9,0.0,0.0
FORD,"TIRES,WHEELS",10,0.0,0.0
FORD,"POWER TRAIN,ELECTRICAL SYSTEM,UNKNOWN OR OTHER",11,0.0,0.0
FORD,"ELECTRICAL SYSTEM,STRUCTURE,UNKNOWN OR OTHER",12,0.0,0.0
FORD,"ENGINE AND ENGINE COOLING,FUEL SYSTEM, GASOLINE",10,0.0,0.0
FORD,"POWER TRAIN,UNKNOWN OR OTHER,ENGINE",51,0.0,0.0
FORD,"STEERING,ENGINE",14,0.0,0.0
FORD,"FUEL SYSTEM, GASOLINE,VISIBILITY,BACK OVER PREVENTION",6,0.0,0.0
FORD,"ENGINE AND ENGINE COOLING,STRUCTURE",9,0.0,0.0
FORD,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,VISIBILITY/WIPER",8,0.0,0.0
FORD,"SUSPENSION,UNKNOWN OR OTHER",7,0.0,0.0
FORD,"ELECTRICAL SYSTEM,STRUCTURE,ENGINE",5,0.0,0.0
FORD,"ENGINE,FUEL/PROPULSION SYSTEM",143,0.0,0.0
FORD,"STEERING,FORWARD COLLISION AVOIDANCE",5,0.0,0.0
FORD,"ELECTRICAL SYSTEM,ENGINE",108,0.0,0.0
FORD,VISIBILITY,132,0.0,0.0
FORD,"ELECTRICAL SYSTEM,STRUCTURE,VISIBILITY/WIPER",5,0.0,0.0
FORD,"STEERING,ELECTRICAL SYSTEM,UNKNOWN OR OTHER",6,0.0,0.0
FORD,"ENGINE,FUEL SYSTEM, GASOLINE",5,0.0,0.0
FORD,"STEERING,ELECTRONIC STABILITY CONTROL (ESC)",16,0.0,0.0
FORD,"POWER TRAIN,FUEL/PROPULSION SYSTEM",22,0.0,0.0
FORD,"STRUCTURE,VISIBILITY",10,0.0,0.0
FORD,"ENGINE AND ENGINE COOLING,ELECTRICAL SYSTEM",9,0.0,0.0
FORD,"ELECTRICAL SYSTEM,LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",8,0.0,0.0
FORD,"FUEL SYSTEM, GASOLINE,POWER TRAIN,ENGINE",6,0.0,0.0
FORD,"STEERING,POWER TRAIN,ELECTRICAL SYSTEM",6,0.0,0.0
FORD,"SUSPENSION,POWER TRAIN,ENGINE",7,0.0,0.0
FORD,ELECTRONIC STABILITY CONTROL (ESC),11,0.0,0.0
FORD,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL,ENGINE",8,0.0,0.0
FORD,"ELECTRICAL SYSTEM,VEHICLE SPEED CONTROL",7,0.0,0.0
FORD,"VISIBILITY,UNKNOWN OR OTHER",8,0.0,0.0
