make,component,complaint_count,crash_count,crash_rate_pct
TOYOTA,"STEERING,SUSPENSION",15,1.0,6.67
TOYOTA,SEAT BELTS,76,5.0,6.58
TOYOTA,"SERVICE BRAKES, HYDRAULIC",47,3.0,6.38
TOYOTA,"POWER TRAIN,UNKNOWN OR OTHER",34,2.0,5.88
TOYOTA,"POWER TRAIN,VEHICLE SPEED CONTROL",34,2.0,5.88
TOYOTA,"SERVICE BRAKES,ENGINE",17,1.0,5.88
TOYOTA,"STEERING,ENGINE",18,1.0,5.56
TOYOTA,"STEERING,ELECTRICAL SYSTEM,ENGINE",40,2.0,5.0
TOYOTA,LANE DEPARTURE,22,1.0,4.55
TOYOTA,STRUCTURE,275,12.0,4.36
TOYOTA,"UNKNOWN OR OTHER,VISIBILITY/WIPER",24,1.0,4.17
TOYOTA,"POWER TRAIN,VEHICLE SPEED CONTROL,ENGINE",25,1.0,4.0
TOYOTA,STEERING,283,11.0,3.89
TOYOTA,"ELECTRICAL SYSTEM,ENGINE,FUEL/PROPULSION SYSTEM",26,1.0,3.85
TOYOTA,UNKNOWN OR OTHER,894,34.0,3.8
TOYOTA,SEATS,69,2.0,2.9
TOYOTA,TIRES,104,3.0,2.88
TOYOTA,EXTERIOR LIGHTING,164,4.0,2.44
TOYOTA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER,ENGINE",42,1.0,2.38
TOYOTA,SUSPENSION,56,1.0,1.79
TOYOTA,POWER TRAIN,744,13.0,1.75
TOYOTA,ENGINE,614,10.0,1.63
TOYOTA,"FUEL SYSTEM, GASOLINE",81,1.0,1.23
TOYOTA,ELECTRICAL SYSTEM,558,3.0,0.54
TOYOTA,FUEL/PROPULSION SYSTEM,479,2.0,0.42
TOYOTA,VISIBILITY/WIPER,243,1.0,0.41
TOYOTA,"UNKNOWN OR OTHER,ENGINE,FUEL/PROPULSION SYSTEM",11,0.0,0.0
TOYOTA,"UNKNOWN OR OTHER,ENGINE",74,0.0,0.0
TOYOTA,"POWER TRAIN,SERVICE BRAKES,ENGINE",7,0.0,0.0
TOYOTA,"STRUCTURE,VISIBILITY/WIPER",8,0.0,0.0
TOYOTA,"FORWARD COLLISION AVOIDANCE,LANE DEPARTURE",6,0.0,0.0
TOYOTA,"ENGINE,FUEL/PROPULSION SYSTEM",49,0.0,0.0
TOYOTA,VISIBILITY,64,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,ENGINE",86,0.0,0.0
TOYOTA,"FUEL SYSTEM, GASOLINE,AIR BAGS",9,0.0,0.0
TOYOTA,"UNKNOWN OR OTHER,FUEL/PROPULSION SYSTEM",22,0.0,0.0
TOYOTA,"POWER TRAIN,UNKNOWN OR OTHER,ENGINE",19,0.0,0.0
TOYOTA,"TIRES,WHEELS",5,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,STRUCTURE,UNKNOWN OR OTHER",11,0.0,0.0
TOYOTA,"STEERING,ENGINE,FUEL/PROPULSION SYSTEM",5,0.0,0.0
TOYOTA,"STEERING,SERVICE BRAKES,ENGINE",6,0.0,0.0
TOYOTA,"POWER TRAIN,SERVICE BRAKES",18,0.0,0.0
TOYOTA,EQUIPMENT,5,0.0,0.0
TOYOTA,"VEHICLE SPEED CONTROL,UNKNOWN OR OTHER,FUEL/PROPULSION SYSTEM",5,0.0,0.0
TOYOTA,LATCHES/LOCKS/LINKAGES,23,0.0,0.0
TOYOTA,"VISIBILITY,STRUCTURE",7,0.0,0.0
TOYOTA,"POWER TRAIN,UNKNOWN OR OTHER,FUEL/PROPULSION SYSTEM",7,0.0,0.0
TOYOTA,"POWER TRAIN,VEHICLE SPEED CONTROL,FUEL/PROPULSION SYSTEM",7,0.0,0.0
TOYOTA,"POWER TRAIN,ENGINE,FUEL/PROPULSION SYSTEM",27,0.0,0.0
TOYOTA,"SEAT BELTS,SEATS",5,0.0,0.0
TOYOTA,"SUSPENSION,STRUCTURE,UNKNOWN OR OTHER",6,0.0,0.0
TOYOTA,"SERVICE BRAKES,LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",5,0.0,0.0
TOYOTA,"VEHICLE SPEED CONTROL,ELECTRONIC STABILITY CONTROL (ESC),SERVICE BRAKES",5,0.0,0.0
TOYOTA,"LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",7,0.0,0.0
TOYOTA,"POWER TRAIN,ENGINE",60,0.0,0.0
TOYOTA,"STRUCTURE,LATCHES/LOCKS/LINKAGES",5,0.0,0.0
TOYOTA,"POWER TRAIN,ELECTRICAL SYSTEM,ENGINE",24,0.0,0.0
TOYOTA,"STRUCTURE,UNKNOWN OR OTHER,VISIBILITY/WIPER",7,0.0,0.0
TOYOTA,"VEHICLE SPEED CONTROL,FORWARD COLLISION AVOIDANCE",12,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,LATCHES/LOCKS/LINKAGES",8,0.0,0.0
TOYOTA,"ELECTRONIC STABILITY CONTROL (ESC),SERVICE BRAKES",5,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,FUEL/PROPULSION SYSTEM",16,0.0,0.0
TOYOTA,"FUEL SYSTEM, GASOLINE,ENGINE",12,0.0,0.0
TOYOTA,"ENGINE AND ENGINE COOLING,ENGINE",5,0.0,0.0
TOYOTA,"STEERING,VEHICLE SPEED CONTROL",6,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,LANE DEPARTURE,FORWARD COLLISION AVOIDANCE",6,0.0,0.0
TOYOTA,"POWER TRAIN,FUEL/PROPULSION SYSTEM",9,0.0,0.0
TOYOTA,"ENGINE,FORWARD COLLISION AVOIDANCE",6,0.0,0.0
TOYOTA,"AIR BAGS,FUEL/PROPULSION SYSTEM",15,0.0,0.0
TOYOTA,"SERVICE BRAKES, HYDRAULIC,ENGINE",5,0.0,0.0
TOYOTA,ENGINE AND ENGINE COOLING,36,0.0,0.0
TOYOTA,ELECTRONIC STABILITY CONTROL (ESC),5,0.0,0.0
TOYOTA,"POWER TRAIN,ELECTRICAL SYSTEM,FUEL/PROPULSION SYSTEM",8,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,FORWARD COLLISION AVOIDANCE",14,0.0,0.0
TOYOTA,"WHEELS,UNKNOWN OR OTHER",6,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,EXTERIOR LIGHTING",11,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,AIR BAGS",5,0.0,0.0
TOYOTA,"ELECTRICAL SYSTEM,UNKNOWN OR OTHER",70,0.0,0.0
